player_x,rock_x,rock_y,dx,rock_speed,action
0.488,0.37,0.02,-0.118,0.7,0
0.476,0.37,0.03166666666666667,-0.106,0.7,0
0.464,0.37,0.043333333333333335,-0.094,0.7,0
0.452,0.37,0.055,-0.082,0.7,0
0.44,0.37,0.06666666666666667,-0.07,0.7,0
0.428,0.37,0.07833333333333334,-0.058,0.7,0
0.416,0.37,0.09,-0.046,0.7,0
0.404,0.37,0.10166666666666667,-0.034,0.7,0
0.392,0.37,0.11333333333333333,-0.022,0.7,0
0.38,0.37,0.125,-0.01,0.7,0
0.368,0.37,0.13666666666666666,0.002,0.7,0
0.356,0.37,0.14833333333333334,0.014,0.7,0
0.344,0.37,0.16,0.026,0.7,0
0.332,0.37,0.17166666666666666,0.038,0.7,0
0.32,0.37,0.18333333333333332,0.05,0.7,0
0.308,0.37,0.195,0.062,0.7,0
0.296,0.37,0.20666666666666667,0.074,0.7,0
0.284,0.37,0.21833333333333332,0.086,0.7,0
0.272,0.37,0.23,0.098,0.7,0
0.26,0.37,0.24166666666666667,0.11,0.7,0
0.248,0.37,0.25333333333333335,0.122,0.7,0
0.236,0.37,0.265,0.134,0.7,0
0.224,0.37,0.27666666666666667,0.146,0.7,0
0.212,0.37,0.28833333333333333,0.158,0.7,0
0.2,0.37,0.3,0.17,0.7,0
0.188,0.37,0.31166666666666665,0.182,0.7,0
0.176,0.37,0.3233333333333333,0.194,0.7,0
0.164,0.37,0.335,0.206,0.7,0
0.152,0.37,0.3466666666666667,0.218,0.7,0
0.14,0.37,0.35833333333333334,0.23,0.7,0
0.128,0.37,0.37,0.242,0.7,0
0.116,0.37,0.38166666666666665,0.254,0.7,0
0.104,0.37,0.3933333333333333,0.266,0.7,0
0.092,0.37,0.405,0.278,0.7,0
0.08,0.37,0.4166666666666667,0.29,0.7,0
0.068,0.37,0.42833333333333334,0.302,0.7,0
0.056,0.37,0.44,0.314,0.7,0
0.056,0.37,0.45166666666666666,0.314,0.7,1
0.056,0.37,0.4633333333333333,0.314,0.7,1
0.056,0.37,0.475,0.314,0.7,1
0.056,0.37,0.4866666666666667,0.314,0.7,1
0.056,0.37,0.49833333333333335,0.314,0.7,1
0.056,0.37,0.51,0.314,0.7,1
0.056,0.37,0.5216666666666666,0.314,0.7,1
0.056,0.37,0.5333333333333333,0.314,0.7,1
0.056,0.37,0.545,0.314,0.7,1
0.056,0.37,0.5566666666666666,0.314,0.7,1
0.056,0.37,0.5683333333333334,0.314,0.7,1
0.056,0.37,0.58,0.314,0.7,1
0.056,0.37,0.5916666666666667,0.314,0.7,1
0.056,0.37,0.6033333333333334,0.314,0.7,1
0.056,0.37,0.615,0.314,0.7,1
0.056,0.37,0.6266666666666667,0.314,0.7,1
0.056,0.37,0.6383333333333333,0.314,0.7,1
0.056,0.37,0.65,0.314,0.7,1
0.056,0.37,0.6616666666666666,0.314,0.7,1
0.068,0.37,0.6733333333333333,0.302,0.7,2
0.08,0.37,0.685,0.29,0.7,2
0.092,0.37,0.6966666666666667,0.278,0.7,2
0.104,0.37,0.7083333333333334,0.266,0.7,2
0.116,0.37,0.72,0.254,0.7,2
0.128,0.37,0.7316666666666667,0.242,0.7,2
0.128,0.37,0.7433333333333333,0.242,0.7,1
0.128,0.37,0.755,0.242,0.7,1
0.128,0.37,0.7666666666666667,0.242,0.7,1
0.128,0.37,0.7783333333333333,0.242,0.7,1
0.128,0.37,0.79,0.242,0.7,1
0.128,0.37,0.8016666666666666,0.242,0.7,1
0.128,0.37,0.8133333333333334,0.242,0.7,1
0.128,0.37,0.825,0.242,0.7,1
