car_x,obstacle_x,obstacle_y,lane_delta,obstacle_speed,obstacle_type,action
0.562,0.26,0.18923076923076923,-0.5,0.5,0,2
0.576,0.26,0.19846153846153847,-0.5,0.5,0,2
0.59,0.26,0.2076923076923077,-0.5,0.5,0,2
0.604,0.26,0.2169230769230769,-0.5,0.5,0,2
0.618,0.26,0.22615384615384615,-0.5,0.5,0,2
0.632,0.26,0.2353846153846154,-1.0,0.5,0,2
0.632,0.26,0.24461538461538462,-1.0,0.5,0,1
0.632,0.26,0.25384615384615383,-1.0,0.5,0,1
0.632,0.26,0.2630769230769231,-1.0,0.5,0,1
0.632,0.26,0.2723076923076923,-1.0,0.5,0,1
0.632,0.26,0.2815384615384615,-1.0,0.5,0,1
0.632,0.26,0.2907692307692308,-1.0,0.5,0,1
0.632,0.26,0.3,-1.0,0.5,0,1
0.632,0.26,0.30923076923076925,-1.0,0.5,0,1
0.632,0.26,0.31846153846153846,-1.0,0.5,0,1
0.632,0.26,0.32769230769230767,-1.0,0.5,0,1
0.632,0.26,0.33692307692307694,-1.0,0.5,0,1
0.646,0.26,0.34615384615384615,-1.0,0.5,0,2
0.66,0.26,0.3553846153846154,-1.0,0.5,0,2
0.674,0.26,0.3646153846153846,-1.0,0.5,0,2
0.688,0.26,0.37384615384615383,-1.0,0.5,0,2
0.702,0.26,0.3830769230769231,-1.0,0.5,0,2
0.716,0.26,0.3923076923076923,-1.0,0.5,0,2
0.73,0.26,0.4015384615384615,-1.0,0.5,0,2
0.744,0.26,0.4107692307692308,-1.0,0.5,0,2
0.758,0.26,0.42,-1.0,0.5,0,2
0.758,0.26,0.42923076923076925,-1.0,0.5,0,1
0.758,0.26,0.43846153846153846,-1.0,0.5,0,1
0.758,0.26,0.44769230769230767,-1.0,0.5,0,1
0.758,0.26,0.45692307692307693,-1.0,0.5,0,1
0.758,0.26,0.46615384615384614,-1.0,0.5,0,1
0.758,0.26,0.4753846153846154,-1.0,0.5,0,1
0.758,0.26,0.4846153846153846,-1.0,0.5,0,1
0.758,0.26,0.4938461538461538,-1.0,0.5,0,1
0.758,0.26,0.5030769230769231,-1.0,0.5,0,1
0.758,0.26,0.5123076923076924,-1.0,0.5,0,1
0.758,0.26,0.5215384615384615,-1.0,0.5,0,1
0.758,0.26,0.5307692307692308,-1.0,0.5,0,1
0.744,0.26,0.54,-1.0,0.5,0,0
0.73,0.26,0.5492307692307692,-1.0,0.5,0,0
0.716,0.26,0.5584615384615385,-1.0,0.5,0,0
0.702,0.26,0.5676923076923077,-1.0,0.5,0,0
0.688,0.26,0.5769230769230769,-1.0,0.5,0,0
0.674,0.26,0.5861538461538461,-1.0,0.5,0,0
0.66,0.26,0.5953846153846154,-1.0,0.5,0,0
0.646,0.26,0.6046153846153847,-1.0,0.5,0,0
0.632,0.26,0.6138461538461538,-1.0,0.5,0,0
0.618,0.26,0.6230769230769231,-0.5,0.5,0,0
0.604,0.26,0.6323076923076923,-0.5,0.5,0,0
0.59,0.26,0.6415384615384615,-0.5,0.5,0,0
0.576,0.26,0.6507692307692308,-0.5,0.5,0,0
0.562,0.26,0.66,-0.5,0.5,0,0
0.548,0.26,0.6692307692307692,-0.5,0.5,0,0
0.548,0.26,0.6784615384615384,-0.5,0.5,0,1
0.548,0.26,0.6876923076923077,-0.5,0.5,0,1
0.548,0.26,0.696923076923077,-0.5,0.5,0,1
