model_type,feature_set,features,n_features_before_encoding,validation_size,architecture,hidden_layers,hidden_nodes,learning_rate,epochs,train_rows,validation_rows,test_rows,train_seconds,validation_r2,validation_mae,validation_rmse,test_r2,test_mae,test_rmse
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.2,3x128_64_32,3,"(128, 64, 32)",0.0003,800,1875,469,586,1.6895535000076052,0.8213963349377371,20363.485524472475,29450.010592197752,0.8657086032550737,22063.11855198722,32812.91986567177
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,1x32,1,"(32,)",0.01,300,1640,704,586,0.15657691599335521,0.8349522026526474,20322.804828490876,29763.896101183494,0.877481163568336,21549.674281455824,31341.67582516789
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,1x32,1,"(32,)",0.01,800,1640,704,586,0.15609866598970257,0.8349522026526474,20322.804828490876,29763.896101183494,0.877481163568336,21549.674281455824,31341.67582516789
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,1x32,1,"(32,)",0.001,300,1640,704,586,0.5896115000068676,0.8398372636712972,20131.946530928668,29320.11392393367,0.8784306575074368,21265.290135669333,31219.994080125434
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,1x32,1,"(32,)",0.001,800,1640,704,586,0.5856035420001717,0.8398372636712972,20131.946530928668,29320.11392393367,0.8784306575074368,21265.290135669333,31219.994080125434
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,1x32,1,"(32,)",0.0003,300,1640,704,586,0.8044150420028018,0.8366788951729399,20136.984515374956,29607.795198693002,0.8816099228565203,20993.972171085017,30809.059025580704
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,1x32,1,"(32,)",0.0003,800,1640,704,586,0.8564159999950789,0.8374881772355156,20073.995411843178,29534.34843235132,0.8814965412109819,20984.124726301714,30823.808343864737
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,1x64,1,"(64,)",0.01,300,1640,704,586,0.13577187500777654,0.8396004847232862,19969.43682447487,29341.77883157634,0.8743873106728359,21415.840481559062,31734.929610931293
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,1x64,1,"(64,)",0.01,800,1640,704,586,0.1359951250051381,0.8396004847232862,19969.43682447487,29341.77883157634,0.8743873106728359,21415.840481559062,31734.929610931293
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,1x64,1,"(64,)",0.001,300,1640,704,586,0.6898140419943957,0.8342232405843665,20675.08229360787,29829.552376239513,0.8770914410560302,21614.159529941495,31391.483916057226
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,1x64,1,"(64,)",0.001,800,1640,704,586,0.6903504580113804,0.8342232405843665,20675.08229360787,29829.552376239513,0.8770914410560302,21614.159529941495,31391.483916057226
NeuralNetwork_MLP,lr_basis,"Overall Qual, Gr Liv Area, Neighborhood",3,0.3,1x64,1,"(64,)",0.0003,300,1640,704,586,0.9158178749930812,0.839438698450679,20130.701884387854,29356.57283076412,0.8810276758656976,21137.31439410646,30884.72617975208
